problem_id,category,subtype,difficulty,layer,n_tokens,unique_experts,unique_per_token,entropy,concentration,top1_expert,top6_experts,correct,truncated,n_gen_tokens
comp-easy-01,computational,gsm8k_word_problem,easy,1,102,122,1.196078431372549,4.589718293511371,0.026949798484480744,51,"51,117,83,123,80,118",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,3,102,116,1.1372549019607843,4.477392809174388,0.03407464425596529,115,"115,117,85,98,64,112",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,6,102,108,1.0588235294117647,4.252148954091027,0.0827559663120525,106,"106,23,42,79,37,27",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,8,102,93,0.9117647058823529,4.041053567430088,0.08334330656040473,79,"79,120,108,10,47,25",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,10,102,84,0.8235294117647058,3.7903050211521028,0.11854262376931977,80,"80,49,21,115,99,66",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,13,102,86,0.8431372549019608,3.7842779118654875,0.11496307473279625,125,"125,34,63,95,65,62",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,15,102,90,0.8823529411764706,3.934883262202996,0.09652864709866896,70,"70,7,68,33,121,21",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,17,102,76,0.7450980392156863,3.693028852194374,0.11762118080255206,3,"3,36,45,19,104,74",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,20,102,81,0.7941176470588235,3.724942195832334,0.1381401133383693,26,"26,14,31,1,16,120",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,22,102,101,0.9901960784313726,4.169600909913484,0.08677640255534466,7,"7,46,94,58,56,112",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,24,102,95,0.9313725490196079,3.8790248426134943,0.08811295599953087,72,"72,67,78,35,6,46",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,27,102,85,0.8333333333333334,3.811017401571244,0.1448212078534698,90,"90,70,64,11,118,122",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,29,102,94,0.9215686274509803,3.986862465107496,0.08507542029211676,18,"18,45,83,125,102,33",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,31,102,103,1.0098039215686274,3.971045140994974,0.1585061990384657,35,"35,25,23,58,112,20",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,34,102,89,0.8725490196078431,3.9270060626383096,0.0903632849249436,35,"35,66,80,1,98,95",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,36,102,100,0.9803921568627451,4.0864851550775745,0.07477007741636524,127,"127,72,105,26,65,34",True,False,103
comp-easy-01,computational,gsm8k_word_problem,easy,38,102,97,0.9509803921568627,3.900520816404017,0.14290856989943757,27,"27,119,54,64,49,29",True,False,103
